B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
3249,2397,1734,1902,1852,2385,3225,3531,3623,3721,3397,Cultivated and managed vegetation/agriculture (cropland),-0.323549,37.654876,2021-04-06
3127,2845,1548,1772,1876,2125,2305,2392,2652,2619,3082,Urban / built up,0.353243,37.582771,2021-01-31
4829,3236,10672,10040,9648,9916,9597,9366,9208,9210,12683,Urban / built up,0.036419,36.353726,2021-04-05
3262,2624,1626,1776,1920,2195,2773,3058,3088,3198,3017,Urban / built up,0.013846,37.07672,2021-04-16
5174,4590,6156,5768,5308,5412,5551,5757,5884,5729,6223,Cultivated and managed vegetation/agriculture (cropland),-0.771172,37.365485,2021-04-26
4000,3630,4376,4092,3660,3862,4541,4861,5096,5037,9026,Urban / built up,-0.330346,37.65076,2021-02-24
4812,3784,5900,5644,5436,5739,5740,5753,5816,5767,9278,Urban / built up,0.013129,37.076498,2021-04-23
1260,879,235,388,394,773,1361,1608,1236,2018,1545,"Open forest, unknown",0.292722,36.364198,2021-01-15
1692,1148,491,612,732,1003,1882,2235,2126,2414,2537,Urban / built up,2.32539,37.988635,2021-04-15
2443,2168,991,1374,1906,2120,2261,2284,2256,2333,2337,Urban / built up,3.994662,37.273087,2021-04-13
2320,1785,886,1058,1324,1542,1611,1740,1512,1817,1934,Urban / built up,3.505313,38.751676,2021-03-20
2106,1729,1080,1350,1418,1678,2205,2368,2250,2501,2789,"Open forest, unknown",0.520581,35.757827,2021-03-02
3504,2877,1438,1618,1788,2040,2701,2943,3108,3144,3337,Urban / built up,3.565945,38.642634,2021-04-12
2145,2682,8800,9208,9416,9924,9553,9342,9704,9136,14676,"Open forest, unknown",1.143039,36.745091,2021-03-06
2673,2403,819,1180,1318,1706,2397,2734,2632,2902,2715,"Open forest, unknown",1.976497,36.073077,2021-03-26
2105,2055,2806,2852,2784,2983,3168,3237,3150,3284,5121,Urban / built up,0.472021,35.984983,2021-04-12
2807,2687,524,689,984,1163,1306,1451,1442,1653,1536,Cultivated and managed vegetation/agriculture (cropland),-0.36701,35.997517,2021-03-29
847,472,466,644,742,1045,1417,1663,1182,1675,2477,"Open forest, unknown",-0.799442,39.840902,2020-05-31
3133,2178,444,796,819,1573,2421,2775,2790,3040,3227,"Open forest, unknown",0.749245,36.540401,2021-01-06
3611,3104,858,1166,2048,2339,2687,2828,2562,3017,2967,"Open forest, unknown",0.766597,36.405164,2021-04-09
6142,4616,11408,10440,9616,10449,9735,9331,9600,9123,15941,Urban / built up,2.335168,37.999163,2021-04-03
6092,5539,6188,5988,5864,6426,6258,6240,6048,6318,10212,"Open forest, unknown",-2.20031,40.84183,2021-02-27
2572,2242,785,1144,1584,1833,2160,2318,2112,2350,2377,Urban / built up,0.03585,36.367177,2021-03-14
2752,2391,1328,1750,2132,1980,2546,2630,2596,2588,2855,Urban / built up,1.784175,36.787735,2020-06-11
